[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of altruists,sum [Harvest] of altruists,min [Harvest] of altruists,max [Harvest] of altruists,count foods,count (altruists) with [Harvest = 0]
8,3,2,20,52,0.33,0.1,0,21,3953.542572,970.457428,33.79140685,50.89121102,380,0
3,3,2,20,52,0.33,0.1,0,21,3209.081397,991.9186033,34.66883839,52,380,0
1,3,2,20,52,0.33,0.1,0,21,1492.865754,985.6342465,34.84,52,380,0
7,3,2,20,52,0.33,0.1,0,21,3032.830229,992.6697707,33.23104515,52,380,0
4,3,2,20,52,0.33,0.1,0,23,2948.858941,989.1410589,34.66472662,51.90338508,380,0
5,3,2,20,52,0.33,0.1,0,24,2730.515923,992.4840765,34.84,52,380,0
2,3,2,20,52,0.33,0.1,0,24,2076.88853,997.1114701,34.73662498,52,380,0
8,3,2,20,52,0.33,0.1,0,22,3993.269308,994.7306922,28.93404262,52,380,0
7,3,2,20,52,0.33,0.1,0,22,3058.788315,969.2116847,32.80080828,50.53574071,380,0
6,3,2,20,52,0.33,0.1,0,22,3484.880553,995.1194474,34.74594782,52,380,0
1,3,2,20,52,0.33,0.1,0,22,1677.738112,995.2618884,34.66845461,52,380,0
5,3,2,20,52,0.33,0.1,0,25,2756.353045,983.1469555,33.83471364,51.66073228,380,0
3,3,2,20,52,0.33,0.1,0,22,3385.198836,994.8011636,34.48315605,52,380,0
4,3,2,20,52,0.33,0.1,0,24,3055.856864,994.1431358,32.69966162,51.92408831,380,0
2,3,2,20,52,0.33,0.1,0,25,2246.8438,997.6562004,34.72527155,52,380,0
5,3,2,20,52,0.33,0.1,0,26,2781.212416,982.7875841,33.65698196,52,380,0
4,3,2,20,52,0.33,0.1,0,25,3135.756548,989.2434522,34.77114289,51.80162962,380,0
8,3,2,20,52,0.33,0.1,0,23,4249.242289,1001.757711,34.84,52,380,0
6,3,2,20,52,0.33,0.1,0,23,3709.038548,997.961452,34.84,52,380,0
3,3,2,20,52,0.33,0.1,0,23,3587.584462,997.415538,34.47451682,52,380,0
7,3,2,20,52,0.33,0.1,0,23,3233.575025,995.924975,34.84,52,380,0
1,3,2,20,52,0.33,0.1,0,23,1896.011357,1000.488643,34.69167272,52,380,0
2,3,2,20,52,0.33,0.1,0,26,2509.499323,993.5006766,34.63691898,52,380,0
3,3,2,20,52,0.33,0.1,0,24,3593.816258,972.183742,33.49383811,51.6035015,380,0
5,3,2,20,52,0.33,0.1,0,27,2951.711432,988.7885678,33.94699351,52,380,0
4,3,2,20,52,0.33,0.1,0,26,3412.709337,996.2906627,34.84,52,380,0
8,3,2,20,52,0.33,0.1,0,24,4478.288101,997.7118992,34.18306143,52,380,0
6,3,2,20,52,0.33,0.1,0,24,3928.073813,994.9261874,34.43823156,52,380,0
3,3,2,20,52,0.33,0.1,0,25,3594.448142,952.551858,33.2786843,49.82141606,380,0
7,3,2,20,52,0.33,0.1,0,24,3474.760368,994.239632,34.61233321,52,380,0
2,3,2,20,52,0.33,0.1,0,27,2574.648374,990.8516263,34.39208298,52,380,0
1,3,2,20,52,0.33,0.1,0,24,2125.885822,995.1141779,34.84,52,380,0
5,3,2,20,52,0.33,0.1,0,28,3180.491002,1002.508998,34.66942131,52,380,0
4,3,2,20,52,0.33,0.1,0,27,3688.119681,1000.880319,33.33258616,52,380,0
8,3,2,20,52,0.33,0.1,0,25,4772.718702,994.2812976,34.83735936,52,380,0
3,3,2,20,52,0.33,0.1,0,26,3635.115758,980.884242,34.64478528,52,380,0
6,3,2,20,52,0.33,0.1,0,25,4100.117732,996.8822678,34.84,52,380,0
2,3,2,20,52,0.33,0.1,0,28,2593.632603,988.3673968,34.19824045,51.5398145,380,0
5,3,2,20,52,0.33,0.1,0,29,3316.598536,987.9014644,34.84,52,380,0
6,3,2,20,52,0.33,0.1,0,26,4117.347887,988.6521132,33.98303581,52,380,0
7,3,2,20,52,0.33,0.1,0,25,3628.110776,999.3892241,34.62584026,52,380,0
1,3,2,20,52,0.33,0.1,0,25,2334.393599,995.1064009,34.6717276,52,380,0
3,3,2,20,52,0.33,0.1,0,27,3748.435887,991.564113,34.4522513,52,380,0
4,3,2,20,52,0.33,0.1,0,28,3943.889008,999.1109918,34.76294418,52,380,0
8,3,2,20,52,0.33,0.1,0,26,5039.677493,997.3225067,34.84,52,380,0
5,3,2,20,52,0.33,0.1,0,30,3369.778041,991.221959,33.60258156,52,380,0
2,3,2,20,52,0.33,0.1,0,29,2836.166139,1000.333861,33.72175391,52,380,0
6,3,2,20,52,0.33,0.1,0,27,4308.799554,997.2004463,33.63142501,52,380,0
4,3,2,20,52,0.33,0.1,0,29,4189.908035,997.0919645,34.84,52,380,0
3,3,2,20,52,0.33,0.1,0,28,3924.264025,996.7359749,34.19506676,52,380,0
1,3,2,20,52,0.33,0.1,0,26,2551.107628,998.8923722,34.84,52,380,0
7,3,2,20,52,0.33,0.1,0,26,3812.351797,993.6482032,34.84,52,380,0
8,3,2,20,52,0.33,0.1,0,27,5284.748616,1000.251384,34.82326061,52,380,0
5,3,2,20,52,0.33,0.1,0,31,3553.023476,995.4765242,34.71063267,52,380,0
2,3,2,20,52,0.33,0.1,0,30,3023.721003,994.2789967,34.58785056,52,380,0
7,3,2,20,52,0.33,0.1,0,27,3896.214123,989.2858768,34.50651811,51.63825238,380,0
6,3,2,20,52,0.33,0.1,0,28,4533.76531,994.23469,34.76653399,52,380,0
3,3,2,20,52,0.33,0.1,0,29,4101.469361,992.5306391,34.66720686,51.95607252,380,0
4,3,2,20,52,0.33,0.1,0,30,4477.967985,997.0320149,34.69971177,52,380,0
1,3,2,20,52,0.33,0.1,0,27,2735.33755,995.1624496,34.37170344,52,380,0
8,3,2,20,52,0.33,0.1,0,28,5558.75135,998.24865,34.84,52,380,0
7,3,2,20,52,0.33,0.1,0,28,3916.161584,989.8384156,34.05608489,52,380,0
5,3,2,20,52,0.33,0.1,0,32,3751.254997,990.7450027,34.5387359,52,380,0
2,3,2,20,52,0.33,0.1,0,31,3183.043646,995.456354,34.55359005,52,380,0
3,3,2,20,52,0.33,0.1,0,30,4126.71404,984.28596,34.21897453,51.18750026,380,0
6,3,2,20,52,0.33,0.1,0,29,4644.692747,993.3072526,34.84,52,380,0
4,3,2,20,52,0.33,0.1,0,31,4700.613587,996.3864125,34.71963836,52,380,0
1,3,2,20,52,0.33,0.1,0,28,2961.557186,1001.442814,34.84,52,380,0
7,3,2,20,52,0.33,0.1,0,29,4128.484028,1003.015972,34.84,52,380,0
2,3,2,20,52,0.33,0.1,0,32,3414.56959,994.4304098,34.84,52,380,0
8,3,2,20,52,0.33,0.1,0,29,5784.504996,995.495004,34.14428217,52,380,0
6,3,2,20,52,0.33,0.1,0,30,4650.102264,972.8977362,33.83845962,51.50882393,380,0
5,3,2,20,52,0.33,0.1,0,33,3984.724001,996.775999,34.59263679,52,380,0
3,3,2,20,52,0.33,0.1,0,31,4324.137351,999.8626488,34.71467921,52,380,0
1,3,2,20,52,0.33,0.1,0,29,3001.003696,972.4963041,33.44647846,50.73762638,380,0
4,3,2,20,52,0.33,0.1,0,32,4923.4736,986.5264,34.18693858,51.7381963,380,0
7,3,2,20,52,0.33,0.1,0,30,4368.061426,993.9385743,34.27986182,51.97563256,380,0
8,3,2,20,52,0.33,0.1,0,30,6032.304459,997.6955412,34.84,52,380,0
2,3,2,20,52,0.33,0.1,0,33,3618.224434,992.2755658,34.3121043,52,380,0
5,3,2,20,52,0.33,0.1,0,34,4189.586265,996.4137347,34.18307933,52,380,0
6,3,2,20,52,0.33,0.1,0,31,4888.15948,1000.84052,33.19,52,380,0
3,3,2,20,52,0.33,0.1,0,32,4504.139252,993.8607483,34.78993854,52,380,0
1,3,2,20,52,0.33,0.1,0,30,3106.767249,1000.232751,34.69607192,52,380,0
4,3,2,20,52,0.33,0.1,0,33,5131.289966,998.7100337,33.36449106,52,380,0
7,3,2,20,52,0.33,0.1,0,31,4569.641545,998.8584547,34.78826111,52,380,0
2,3,2,20,52,0.33,0.1,0,34,3806.575264,996.4247363,34.84,52,380,0
8,3,2,20,52,0.33,0.1,0,31,6279.994623,999.0053775,34.84,52,380,0
5,3,2,20,52,0.33,0.1,0,35,4395.090181,1001.409819,29.09026146,52,380,0
6,3,2,20,52,0.33,0.1,0,32,5118.286695,990.7133055,34.41723309,52,380,0
3,3,2,20,52,0.33,0.1,0,33,4663.765774,1000.234226,34.40819551,52,380,0
1,3,2,20,52,0.33,0.1,0,31,3348.783212,994.7167882,34.60888145,52,380,0
2,3,2,20,52,0.33,0.1,0,35,3818.509802,971.9901982,34.11129256,50.98143969,380,0
4,3,2,20,52,0.33,0.1,0,34,5346.437275,994.5627248,33.94818624,52,380,0
7,3,2,20,52,0.33,0.1,0,32,4773.495783,994.5042168,34.74332617,51.98052305,380,0
8,3,2,20,52,0.33,0.1,0,32,6320.085023,992.9149765,34.20808669,52,380,0
5,3,2,20,52,0.33,0.1,0,36,4580.497913,994.502087,33.91738789,52,380,0
6,3,2,20,52,0.33,0.1,0,33,5321.199533,993.8004667,34.75971028,52,380,0
2,3,2,20,52,0.33,0.1,0,36,3941.95303,995.04697,34.81503415,51.99482389,380,0
3,3,2,20,52,0.33,0.1,0,34,4883.210146,990.789854,34.40200021,52,380,0
1,3,2,20,52,0.33,0.1,0,32,3546.566776,996.4332242,34.81830952,52,380,0
4,3,2,20,52,0.33,0.1,0,35,5609.409215,992.5907847,34.84,52,380,0
5,3,2,20,52,0.33,0.1,0,37,4637.521815,979.9781853,32.25229594,51.46778045,380,0
7,3,2,20,52,0.33,0.1,0,33,4964.521396,994.9786042,34.63115919,52,380,0
8,3,2,20,52,0.33,0.1,0,33,6493.676062,996.3239385,34.84,51.92517059,380,0
