[run number],connect-number,resource-abundance,altruist-number,Max.Resource,Shared,hardship,miser-number,[step],sum [Waste] of misers,sum [Harvest] of misers,min [Harvest] of misers,max [Harvest] of misers,count (misers) with [Harvest <= 0]
5,3,2,0,52,0.33,0.1,20,19,2686.5,1021,49,52,0
6,3,2,0,52,0.33,0.1,20,19,2925,1028,46,52,0
2,3,2,0,52,0.33,0.1,20,25,2297,1003,46,52,0
8,3,2,0,52,0.33,0.1,20,18,2638.5,1031,43,52,0
4,3,2,0,52,0.33,0.1,20,20,3244,1017,48,52,0
3,3,2,0,52,0.33,0.1,20,20,2817.5,972.5,6,52,0
7,3,2,0,52,0.33,0.1,20,19,2463,1040,52,52,0
1,3,2,0,52,0.33,0.1,20,19,2447.5,1028.5,48,52,0
2,3,2,0,52,0.33,0.1,20,26,2446,1031,44,52,0
5,3,2,0,52,0.33,0.1,20,20,2879.5,1028.5,47.5,52,0
6,3,2,0,52,0.33,0.1,20,20,3133,1033,49,52,0
8,3,2,0,52,0.33,0.1,20,19,2863.5,1036.5,49,52,0
4,3,2,0,52,0.33,0.1,20,21,3451,1034,48,52,0
3,3,2,0,52,0.33,0.1,20,21,2976.5,988.5,6,52,0
7,3,2,0,52,0.33,0.1,20,20,2564,1026,50,52,0
2,3,2,0,52,0.33,0.1,20,27,2614,1035,47,52,0
7,3,2,0,52,0.33,0.1,20,21,2564,1003,48,52,0
1,3,2,0,52,0.33,0.1,20,20,2722,1040,52,52,0
6,3,2,0,52,0.33,0.1,20,21,3347.5,1035.5,50,52,0
5,3,2,0,52,0.33,0.1,20,21,3051.5,1037,49,52,0
8,3,2,0,52,0.33,0.1,20,20,3063.5,1039,51,52,0
7,3,2,0,52,0.33,0.1,20,22,2658.5,1002.5,46,52,0
2,3,2,0,52,0.33,0.1,20,28,2809,1038,50,52,0
4,3,2,0,52,0.33,0.1,20,22,3593.5,1035.5,49,52,0
3,3,2,0,52,0.33,0.1,20,22,3189,992,6,52,0
8,3,2,0,52,0.33,0.1,20,21,3142.5,1027.5,50,52,0
1,3,2,0,52,0.33,0.1,20,21,2810.5,1028.5,50,52,0
5,3,2,0,52,0.33,0.1,20,22,3249,1038,50.5,52,0
6,3,2,0,52,0.33,0.1,20,22,3574.5,1038.5,50.5,52,0
2,3,2,0,52,0.33,0.1,20,29,3037,1037,50,52,0
4,3,2,0,52,0.33,0.1,20,23,3733.5,1030.5,50,52,0
7,3,2,0,52,0.33,0.1,20,23,2862.5,1028.5,44,52,0
3,3,2,0,52,0.33,0.1,20,23,3411,994,6,52,0
8,3,2,0,52,0.33,0.1,20,22,3257,1027.5,48,52,0
